"id","title","description","availability","condition","price","link","image_link","brand","google_product_category","fb_product_category","quantity_to_sell_on_facebook","sale_price","sale_price_effective_date","item_group_id","gender","color","size","age_group","material","pattern","shipping","shipping_weight","offer_disclaimer","offer_disclaimer_url","video[0].url","video[0].tag[0]","gtin","product_tags[0]","product_tags[1]","style[0]"
"ascend-xl","Ascend - XL","Bold abstract design for artistic souls Available here in XL size.","in stock","new","950.00 EGP","https://natonat.com/en/product/ascend","https://natonat.com/octopus%20photo/Ascend/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","ascend","unisex","Blue","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","minimal"
"dubai-s","Dubai - S","Inspired by the magnificent city of Dubai Available here in S size.","in stock","new","850.00 EGP","https://natonat.com/en/product/dubai","https://natonat.com/octopus%20photo/Dubai/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","dubai","unisex","Blue","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"dubai-m","Dubai - M","Inspired by the magnificent city of Dubai Available here in M size.","in stock","new","900.00 EGP","https://natonat.com/en/product/dubai","https://natonat.com/octopus%20photo/Dubai/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","dubai","unisex","Blue","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"dubai-l","Dubai - L","Inspired by the magnificent city of Dubai Available here in L size.","in stock","new","950.00 EGP","https://natonat.com/en/product/dubai","https://natonat.com/octopus%20photo/Dubai/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","dubai","unisex","Blue","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"dubai-xl","Dubai - XL","Inspired by the magnificent city of Dubai Available here in XL size.","in stock","new","1000.00 EGP","https://natonat.com/en/product/dubai","https://natonat.com/octopus%20photo/Dubai/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","dubai","unisex","Blue","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"egypt-skyline-s","Egypt Skyline - S","Celebrating Egypt's iconic landmarks Available here in S size.","in stock","new","750.00 EGP","https://natonat.com/en/product/egypt-skyline","https://natonat.com/octopus%20photo/Egypt%20Skyline/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","egypt-skyline","unisex","Blue","S","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"egypt-skyline-m","Egypt Skyline - M","Celebrating Egypt's iconic landmarks Available here in M size.","in stock","new","800.00 EGP","https://natonat.com/en/product/egypt-skyline","https://natonat.com/octopus%20photo/Egypt%20Skyline/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","egypt-skyline","unisex","Blue","M","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"egypt-skyline-l","Egypt Skyline - L","Celebrating Egypt's iconic landmarks Available here in L size.","in stock","new","850.00 EGP","https://natonat.com/en/product/egypt-skyline","https://natonat.com/octopus%20photo/Egypt%20Skyline/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","egypt-skyline","unisex","Blue","L","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"egypt-skyline-xl","Egypt Skyline - XL","Celebrating Egypt's iconic landmarks Available here in XL size.","in stock","new","900.00 EGP","https://natonat.com/en/product/egypt-skyline","https://natonat.com/octopus%20photo/Egypt%20Skyline/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","egypt-skyline","unisex","Blue","XL","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"egyptian-queen-s","Egyptian Queen - S","Royal Egyptian design for majestic travelers Available here in S size.","in stock","new","700.00 EGP","https://natonat.com/en/product/egyptian-queen","https://natonat.com/octopus%20photo/Egyptian%20Queen/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","egyptian-queen","female","Gold","S","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"egyptian-queen-m","Egyptian Queen - M","Royal Egyptian design for majestic travelers Available here in M size.","in stock","new","750.00 EGP","https://natonat.com/en/product/egyptian-queen","https://natonat.com/octopus%20photo/Egyptian%20Queen/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","egyptian-queen","female","Gold","M","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"egyptian-queen-l","Egyptian Queen - L","Royal Egyptian design for majestic travelers Available here in L size.","in stock","new","800.00 EGP","https://natonat.com/en/product/egyptian-queen","https://natonat.com/octopus%20photo/Egyptian%20Queen/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","egyptian-queen","female","Gold","L","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"egyptian-queen-xl","Egyptian Queen - XL","Royal Egyptian design for majestic travelers Available here in XL size.","in stock","new","850.00 EGP","https://natonat.com/en/product/egyptian-queen","https://natonat.com/octopus%20photo/Egyptian%20Queen/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","egyptian-queen","female","Gold","XL","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","fun"
"eternal-egypt-s","Eternal Egypt - S","Timeless Egyptian heritage design Available here in S size.","in stock","new","800.00 EGP","https://natonat.com/en/product/eternal-egypt","https://natonat.com/octopus%20photo/Eternal%20Egypt/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","eternal-egypt","unisex","Blue","S","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"eternal-egypt-m","Eternal Egypt - M","Timeless Egyptian heritage design Available here in M size.","in stock","new","850.00 EGP","https://natonat.com/en/product/eternal-egypt","https://natonat.com/octopus%20photo/Eternal%20Egypt/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","eternal-egypt","unisex","Blue","M","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"eternal-egypt-l","Eternal Egypt - L","Timeless Egyptian heritage design Available here in L size.","in stock","new","900.00 EGP","https://natonat.com/en/product/eternal-egypt","https://natonat.com/octopus%20photo/Eternal%20Egypt/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","eternal-egypt","unisex","Blue","L","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"eternal-egypt-xl","Eternal Egypt - XL","Timeless Egyptian heritage design Available here in XL size.","in stock","new","950.00 EGP","https://natonat.com/en/product/eternal-egypt","https://natonat.com/octopus%20photo/Eternal%20Egypt/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","eternal-egypt","unisex","Blue","XL","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","travel-icons"
"festival-s","Festival - S","Vibrant festival colors for joyful travelers Available here in S size.","in stock","new","750.00 EGP","https://natonat.com/en/product/festival","https://natonat.com/octopus%20photo/Festival/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","festival","female","Colorful","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"festival-m","Festival - M","Vibrant festival colors for joyful travelers Available here in M size.","in stock","new","800.00 EGP","https://natonat.com/en/product/festival","https://natonat.com/octopus%20photo/Festival/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","festival","female","Colorful","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"festival-l","Festival - L","Vibrant festival colors for joyful travelers Available here in L size.","in stock","new","850.00 EGP","https://natonat.com/en/product/festival","https://natonat.com/octopus%20photo/Festival/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","festival","female","Colorful","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"festival-xl","Festival - XL","Vibrant festival colors for joyful travelers Available here in XL size.","in stock","new","900.00 EGP","https://natonat.com/en/product/festival","https://natonat.com/octopus%20photo/Festival/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","festival","female","Colorful","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"lotus-s","Lotus - S","Elegant lotus flower design Available here in S size.","in stock","new","700.00 EGP","https://natonat.com/en/product/lotus","https://natonat.com/octopus%20photo/Lotus/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","lotus","unisex","Gold","S","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","minimal"
"lotus-m","Lotus - M","Elegant lotus flower design Available here in M size.","in stock","new","750.00 EGP","https://natonat.com/en/product/lotus","https://natonat.com/octopus%20photo/Lotus/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","lotus","unisex","Gold","M","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","minimal"
"lotus-l","Lotus - L","Elegant lotus flower design Available here in L size.","in stock","new","800.00 EGP","https://natonat.com/en/product/lotus","https://natonat.com/octopus%20photo/Lotus/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","lotus","unisex","Gold","L","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","minimal"
"lotus-xl","Lotus - XL","Elegant lotus flower design Available here in XL size.","in stock","new","850.00 EGP","https://natonat.com/en/product/lotus","https://natonat.com/octopus%20photo/Lotus/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","lotus","unisex","Gold","XL","adult","Stretch luggage cover fabric","Printed / Pharaoh","EG::Standard:0.00 EGP","","","","","","","luggage-covers","pharaoh","minimal"
"lunara-s","Lunara - S","Mystical lunar-inspired design Available here in S size.","in stock","new","800.00 EGP","https://natonat.com/en/product/lunara","https://natonat.com/octopus%20photo/Lunara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","lunara","female","Navy Blue","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"lunara-m","Lunara - M","Mystical lunar-inspired design Available here in M size.","in stock","new","850.00 EGP","https://natonat.com/en/product/lunara","https://natonat.com/octopus%20photo/Lunara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","lunara","female","Navy Blue","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"lunara-l","Lunara - L","Mystical lunar-inspired design Available here in L size.","in stock","new","900.00 EGP","https://natonat.com/en/product/lunara","https://natonat.com/octopus%20photo/Lunara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","lunara","female","Navy Blue","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"lunara-xl","Lunara - XL","Mystical lunar-inspired design Available here in XL size.","in stock","new","950.00 EGP","https://natonat.com/en/product/lunara","https://natonat.com/octopus%20photo/Lunara/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","749.00 EGP","","lunara","female","Navy Blue","XL","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","fun"
"new-york-s","New York - S","The city that never sleeps design Available here in S size.","in stock","new","750.00 EGP","https://natonat.com/en/product/new-york","https://natonat.com/octopus%20photo/New%20York/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","589.00 EGP","","new-york","female","Grey","S","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"new-york-m","New York - M","The city that never sleeps design Available here in M size.","in stock","new","800.00 EGP","https://natonat.com/en/product/new-york","https://natonat.com/octopus%20photo/New%20York/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","649.00 EGP","","new-york","female","Grey","M","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
"new-york-l","New York - L","The city that never sleeps design Available here in L size.","in stock","new","850.00 EGP","https://natonat.com/en/product/new-york","https://natonat.com/octopus%20photo/New%20York/1.png","natOnat","Luggage & Bags > Luggage Accessories > Luggage Covers","Luggage & Bags > Luggage Accessories > Luggage Covers","100","689.00 EGP","","new-york","female","Grey","L","adult","Stretch luggage cover fabric","Printed","EG::Standard:0.00 EGP","","","","","","","luggage-covers","Luggage Cover","travel-icons"
